,Suburb,Year,Housing_Type,Value
1338,Cranbourne,2019,2 bedroom flats,310.0
1339,Cranbourne,2019,2 bedroom houses,330.0
1340,Cranbourne,2019,3 bedroom flats,347.5
1341,Cranbourne,2019,3 bedroom houses,369.0
1342,Cranbourne,2019,4 bedroom houses,410.0
1343,Cranbourne,2019,All properties,385.0
1344,Cranbourne,2020,1 bedroom flats,280.0
1345,Cranbourne,2020,2 bedroom flats,320.0
1346,Cranbourne,2020,2 bedroom houses,332.5
1347,Cranbourne,2020,3 bedroom flats,353.0
1348,Cranbourne,2020,3 bedroom houses,370.0
1349,Cranbourne,2020,4 bedroom houses,410.0
1350,Cranbourne,2020,All properties,390.0
1351,Cranbourne,2021,1 bedroom flats,280.0
1352,Cranbourne,2021,2 bedroom flats,332.5
1353,Cranbourne,2021,2 bedroom houses,340.0
1354,Cranbourne,2021,3 bedroom flats,377.5
1355,Cranbourne,2021,3 bedroom houses,380.5
1356,Cranbourne,2021,4 bedroom houses,429.5
1357,Cranbourne,2021,All properties,400.0
1358,Cranbourne,2022,1 bedroom flats,290.0
1359,Cranbourne,2022,2 bedroom flats,340.0
1360,Cranbourne,2022,2 bedroom houses,360.0
1361,Cranbourne,2022,3 bedroom flats,390.0
1362,Cranbourne,2022,3 bedroom houses,400.0
1363,Cranbourne,2022,4 bedroom houses,455.0
1364,Cranbourne,2022,All properties,430.0
1365,Croydon-Lilydale,2018,1 bedroom flats,271.5
1366,Croydon-Lilydale,2018,2 bedroom flats,350.0
1367,Croydon-Lilydale,2018,2 bedroom houses,367.5
1368,Croydon-Lilydale,2018,3 bedroom flats,420.0
1369,Croydon-Lilydale,2018,3 bedroom houses,405.0
1370,Croydon-Lilydale,2018,4 bedroom houses,500.0
1371,Croydon-Lilydale,2018,All properties,400.0
1372,Croydon-Lilydale,2019,1 bedroom flats,280.0
1373,Croydon-Lilydale,2019,2 bedroom flats,362.5
1374,Croydon-Lilydale,2019,2 bedroom houses,370.0
1375,Croydon-Lilydale,2019,3 bedroom flats,430.0
1376,Croydon-Lilydale,2019,3 bedroom houses,420.0
1377,Croydon-Lilydale,2019,4 bedroom houses,500.0
1378,Croydon-Lilydale,2019,All properties,410.0
1379,Croydon-Lilydale,2020,1 bedroom flats,290.0
1380,Croydon-Lilydale,2020,2 bedroom flats,370.0
1381,Croydon-Lilydale,2020,2 bedroom houses,377.5
1382,Croydon-Lilydale,2020,3 bedroom flats,435.0
1383,Croydon-Lilydale,2020,3 bedroom houses,424.0
1384,Croydon-Lilydale,2020,4 bedroom houses,505.0
1385,Croydon-Lilydale,2020,All properties,412.5
1386,Croydon-Lilydale,2021,1 bedroom flats,295.0
1387,Croydon-Lilydale,2021,2 bedroom flats,375.0
1388,Croydon-Lilydale,2021,2 bedroom houses,380.0
1389,Croydon-Lilydale,2021,3 bedroom flats,450.0
1390,Croydon-Lilydale,2021,3 bedroom houses,440.0
1391,Croydon-Lilydale,2021,4 bedroom houses,535.0
1392,Croydon-Lilydale,2021,All properties,427.5
1393,Croydon-Lilydale,2022,1 bedroom flats,320.0
1394,Croydon-Lilydale,2022,2 bedroom flats,385.0
1395,Croydon-Lilydale,2022,2 bedroom houses,390.0
1396,Croydon-Lilydale,2022,3 bedroom flats,470.0
1397,Croydon-Lilydale,2022,3 bedroom houses,460.0
1398,Croydon-Lilydale,2022,4 bedroom houses,580.0
1399,Croydon-Lilydale,2022,All properties,450.0
1400,Dandenong,2018,1 bedroom flats,250.0
1401,Dandenong,2018,2 bedroom flats,300.0
1402,Dandenong,2018,2 bedroom houses,335.0
1403,Dandenong,2018,3 bedroom flats,395.0
1404,Dandenong,2018,3 bedroom houses,380.5
1405,Dandenong,2018,4 bedroom houses,520.0
1406,Dandenong,2018,All properties,343.0
1407,Dandenong,2019,1 bedroom flats,262.5
1408,Dandenong,2019,2 bedroom flats,310.0
1409,Dandenong,2019,2 bedroom houses,336.5
1410,Dandenong,2019,3 bedroom flats,400.0
1411,Dandenong,2019,3 bedroom houses,392.5
1412,Dandenong,2019,4 bedroom houses,530.0
1413,Dandenong,2019,All properties,350.0
1414,Dandenong,2020,1 bedroom flats,267.5
1415,Dandenong,2020,2 bedroom flats,310.0
1416,Dandenong,2020,2 bedroom houses,334.0
1417,Dandenong,2020,3 bedroom flats,400.0
1418,Dandenong,2020,3 bedroom houses,400.0
1419,Dandenong,2020,4 bedroom houses,530.0
1420,Dandenong,2020,All properties,350.0
1421,Dandenong,2021,1 bedroom flats,270.0
1422,Dandenong,2021,2 bedroom flats,310.0
1423,Dandenong,2021,2 bedroom houses,360.0
1424,Dandenong,2021,3 bedroom flats,400.0
1425,Dandenong,2021,3 bedroom houses,400.0
1426,Dandenong,2021,4 bedroom houses,532.5
1427,Dandenong,2021,All properties,350.0
1428,Dandenong,2022,1 bedroom flats,265.0
1429,Dandenong,2022,2 bedroom flats,320.0
1430,Dandenong,2022,2 bedroom houses,360.0
1431,Dandenong,2022,3 bedroom flats,410.0
1432,Dandenong,2022,3 bedroom houses,410.0
1433,Dandenong,2022,4 bedroom houses,545.0
1434,Dandenong,2022,All properties,360.0
1435,Dandenong North-Endeavour Hills,2018,1 bedroom flats,257.5
1436,Dandenong North-Endeavour Hills,2018,2 bedroom flats,320.0
1437,Dandenong North-Endeavour Hills,2018,2 bedroom houses,304.0
1438,Dandenong North-Endeavour Hills,2018,3 bedroom flats,360.0
1439,Dandenong North-Endeavour Hills,2018,3 bedroom houses,355.0
1440,Dandenong North-Endeavour Hills,2018,4 bedroom houses,417.5
1441,Dandenong North-Endeavour Hills,2018,All properties,352.5
1442,Dandenong North-Endeavour Hills,2019,1 bedroom flats,260.0
1443,Dandenong North-Endeavour Hills,2019,2 bedroom flats,327.5
1444,Dandenong North-Endeavour Hills,2019,2 bedroom houses,310.5
1445,Dandenong North-Endeavour Hills,2019,3 bedroom flats,362.5
1446,Dandenong North-Endeavour Hills,2019,3 bedroom houses,360.0
1447,Dandenong North-Endeavour Hills,2019,4 bedroom houses,434.0
1448,Dandenong North-Endeavour Hills,2019,All properties,360.0
1449,Dandenong North-Endeavour Hills,2020,1 bedroom flats,270.0
1450,Dandenong North-Endeavour Hills,2020,2 bedroom flats,330.0
1451,Dandenong North-Endeavour Hills,2020,2 bedroom houses,324.0
1452,Dandenong North-Endeavour Hills,2020,3 bedroom flats,362.5
1453,Dandenong North-Endeavour Hills,2020,3 bedroom houses,370.0
1454,Dandenong North-Endeavour Hills,2020,4 bedroom houses,427.5
1455,Dandenong North-Endeavour Hills,2020,All properties,360.0
1456,Dandenong North-Endeavour Hills,2021,1 bedroom flats,270.0
1457,Dandenong North-Endeavour Hills,2021,2 bedroom flats,330.0
1458,Dandenong North-Endeavour Hills,2021,2 bedroom houses,326.0
1459,Dandenong North-Endeavour Hills,2021,3 bedroom flats,370.0
1460,Dandenong North-Endeavour Hills,2021,3 bedroom houses,370.0
1461,Dandenong North-Endeavour Hills,2021,4 bedroom houses,430.5
1462,Dandenong North-Endeavour Hills,2021,All properties,362.5
1463,Dandenong North-Endeavour Hills,2022,1 bedroom flats,270.0
1464,Dandenong North-Endeavour Hills,2022,2 bedroom flats,344.0
1465,Dandenong North-Endeavour Hills,2022,2 bedroom houses,333.0
1466,Dandenong North-Endeavour Hills,2022,3 bedroom flats,390.0
1467,Dandenong North-Endeavour Hills,2022,3 bedroom houses,385.0
1468,Dandenong North-Endeavour Hills,2022,4 bedroom houses,450.0
1469,Dandenong North-Endeavour Hills,2022,All properties,380.0
1470,Docklands,2018,1 bedroom flats,450.0
1471,Docklands,2018,2 bedroom flats,620.0
1472,Docklands,2018,2 bedroom houses,0.0
1473,Docklands,2018,3 bedroom flats,950.0
1474,Docklands,2018,3 bedroom houses,0.0
1475,Docklands,2018,4 bedroom houses,0.0
1476,Docklands,2018,All properties,550.0
1477,Docklands,2019,1 bedroom flats,470.0
1478,Docklands,2019,2 bedroom flats,645.0
1479,Docklands,2019,2 bedroom houses,0.0
1480,Docklands,2019,3 bedroom flats,988.0
1481,Docklands,2019,3 bedroom houses,0.0
1482,Docklands,2019,4 bedroom houses,0.0
1483,Docklands,2019,All properties,575.0
1484,Docklands,2020,1 bedroom flats,445.0
1485,Docklands,2020,2 bedroom flats,585.0
1486,Docklands,2020,2 bedroom houses,0.0
1487,Docklands,2020,3 bedroom flats,880.0
1488,Docklands,2020,3 bedroom houses,0.0
1489,Docklands,2020,4 bedroom houses,0.0
1490,Docklands,2020,All properties,525.0
1491,Docklands,2021,1 bedroom flats,340.0
1492,Docklands,2021,2 bedroom flats,450.0
1493,Docklands,2021,2 bedroom houses,0.0
1494,Docklands,2021,3 bedroom flats,750.0
1495,Docklands,2021,3 bedroom houses,0.0
1496,Docklands,2021,4 bedroom houses,0.0
1497,Docklands,2021,All properties,400.0
1498,Docklands,2022,1 bedroom flats,380.0
1499,Docklands,2022,2 bedroom flats,500.0
1500,Docklands,2022,2 bedroom houses,0.0
1501,Docklands,2022,3 bedroom flats,850.0
1502,Docklands,2022,3 bedroom houses,0.0
1503,Docklands,2022,4 bedroom houses,0.0
1504,Docklands,2022,All properties,450.0
1505,Doncaster East-Donvale,2018,1 bedroom flats,352.5
1506,Doncaster East-Donvale,2018,2 bedroom flats,411.5
1507,Doncaster East-Donvale,2018,2 bedroom houses,402.5
1508,Doncaster East-Donvale,2018,3 bedroom flats,470.0
1509,Doncaster East-Donvale,2018,3 bedroom houses,452.5
1510,Doncaster East-Donvale,2018,4 bedroom houses,592.5
1511,Doncaster East-Donvale,2018,All properties,480.0
1512,Doncaster East-Donvale,2019,1 bedroom flats,370.0
1513,Doncaster East-Donvale,2019,2 bedroom flats,430.0
1514,Doncaster East-Donvale,2019,2 bedroom houses,400.0
1515,Doncaster East-Donvale,2019,3 bedroom flats,502.0
1516,Doncaster East-Donvale,2019,3 bedroom houses,460.0
1517,Doncaster East-Donvale,2019,4 bedroom houses,592.5
1518,Doncaster East-Donvale,2019,All properties,492.5
1519,Doncaster East-Donvale,2020,1 bedroom flats,367.5
1520,Doncaster East-Donvale,2020,2 bedroom flats,420.0
1521,Doncaster East-Donvale,2020,2 bedroom houses,420.0
1522,Doncaster East-Donvale,2020,3 bedroom flats,500.0
1523,Doncaster East-Donvale,2020,3 bedroom houses,477.5
1524,Doncaster East-Donvale,2020,4 bedroom houses,600.0
1525,Doncaster East-Donvale,2020,All properties,497.5
1526,Doncaster East-Donvale,2021,1 bedroom flats,345.0
1527,Doncaster East-Donvale,2021,2 bedroom flats,400.0
1528,Doncaster East-Donvale,2021,2 bedroom houses,399.0
1529,Doncaster East-Donvale,2021,3 bedroom flats,497.5
1530,Doncaster East-Donvale,2021,3 bedroom houses,470.0
1531,Doncaster East-Donvale,2021,4 bedroom houses,600.0
1532,Doncaster East-Donvale,2021,All properties,480.0
1533,Doncaster East-Donvale,2022,1 bedroom flats,350.0
1534,Doncaster East-Donvale,2022,2 bedroom flats,420.0
1535,Doncaster East-Donvale,2022,2 bedroom houses,395.0
1536,Doncaster East-Donvale,2022,3 bedroom flats,520.0
1537,Doncaster East-Donvale,2022,3 bedroom houses,500.0
1538,Doncaster East-Donvale,2022,4 bedroom houses,600.0
1539,Doncaster East-Donvale,2022,All properties,500.0
1540,Dromana-Portsea,2018,1 bedroom flats,247.5
1541,Dromana-Portsea,2018,2 bedroom flats,320.0
1542,Dromana-Portsea,2018,2 bedroom houses,319.0
1543,Dromana-Portsea,2018,3 bedroom flats,392.5
1544,Dromana-Portsea,2018,3 bedroom houses,370.0
1545,Dromana-Portsea,2018,4 bedroom houses,480.0
1546,Dromana-Portsea,2018,All properties,375.0
1547,Dromana-Portsea,2019,1 bedroom flats,265.0
1548,Dromana-Portsea,2019,2 bedroom flats,327.5
1549,Dromana-Portsea,2019,2 bedroom houses,320.0
1550,Dromana-Portsea,2019,3 bedroom flats,395.0
1551,Dromana-Portsea,2019,3 bedroom houses,380.0
1552,Dromana-Portsea,2019,4 bedroom houses,490.0
1553,Dromana-Portsea,2019,All properties,382.5
1554,Dromana-Portsea,2020,1 bedroom flats,250.0
1555,Dromana-Portsea,2020,2 bedroom flats,330.0
1556,Dromana-Portsea,2020,2 bedroom houses,330.0
1557,Dromana-Portsea,2020,3 bedroom flats,400.0
1558,Dromana-Portsea,2020,3 bedroom houses,387.5
1559,Dromana-Portsea,2020,4 bedroom houses,500.0
1560,Dromana-Portsea,2020,All properties,392.5
1561,Dromana-Portsea,2021,1 bedroom flats,304.0
1562,Dromana-Portsea,2021,2 bedroom flats,370.0
1563,Dromana-Portsea,2021,2 bedroom houses,362.5
1564,Dromana-Portsea,2021,3 bedroom flats,450.5
1565,Dromana-Portsea,2021,3 bedroom houses,440.0
1566,Dromana-Portsea,2021,4 bedroom houses,565.0
1567,Dromana-Portsea,2021,All properties,445.0
1568,Dromana-Portsea,2022,1 bedroom flats,323.0
1569,Dromana-Portsea,2022,2 bedroom flats,400.0
1570,Dromana-Portsea,2022,2 bedroom houses,400.0
1571,Dromana-Portsea,2022,3 bedroom flats,510.0
1572,Dromana-Portsea,2022,3 bedroom houses,500.0
1573,Dromana-Portsea,2022,4 bedroom houses,675.0
1574,Dromana-Portsea,2022,All properties,500.0
1575,East Brunswick,2018,1 bedroom flats,375.0
1576,East Brunswick,2018,2 bedroom flats,465.0
1577,East Brunswick,2018,2 bedroom houses,530.0
1578,East Brunswick,2018,3 bedroom flats,684.0
1579,East Brunswick,2018,3 bedroom houses,660.0
1580,East Brunswick,2018,4 bedroom houses,790.0
1581,East Brunswick,2018,All properties,434.0
1582,East Brunswick,2019,1 bedroom flats,382.5
1583,East Brunswick,2019,2 bedroom flats,490.0
1584,East Brunswick,2019,2 bedroom houses,535.0
1585,East Brunswick,2019,3 bedroom flats,685.0
1586,East Brunswick,2019,3 bedroom houses,700.0
1587,East Brunswick,2019,4 bedroom houses,845.0
1588,East Brunswick,2019,All properties,455.0
1589,East Brunswick,2020,1 bedroom flats,385.0
1590,East Brunswick,2020,2 bedroom flats,482.5
1591,East Brunswick,2020,2 bedroom houses,545.0
1592,East Brunswick,2020,3 bedroom flats,697.5
1593,East Brunswick,2020,3 bedroom houses,710.0
1594,East Brunswick,2020,4 bedroom houses,830.0
1595,East Brunswick,2020,All properties,450.0
1596,East Brunswick,2021,1 bedroom flats,350.0
1597,East Brunswick,2021,2 bedroom flats,435.0
1598,East Brunswick,2021,2 bedroom houses,537.5
1599,East Brunswick,2021,3 bedroom flats,670.0
1600,East Brunswick,2021,3 bedroom houses,677.5
1601,East Brunswick,2021,4 bedroom houses,845.0
1602,East Brunswick,2021,All properties,405.0
1603,East Brunswick,2022,1 bedroom flats,350.0
1604,East Brunswick,2022,2 bedroom flats,440.0
1605,East Brunswick,2022,2 bedroom houses,530.0
1606,East Brunswick,2022,3 bedroom flats,655.0
1607,East Brunswick,2022,3 bedroom houses,650.0
1608,East Brunswick,2022,4 bedroom houses,850.0
1609,East Brunswick,2022,All properties,420.0
1610,East Hawthorn,2018,1 bedroom flats,362.5
1611,East Hawthorn,2018,2 bedroom flats,450.0
1612,East Hawthorn,2018,2 bedroom houses,584.0
1613,East Hawthorn,2018,3 bedroom flats,596.5
1614,East Hawthorn,2018,3 bedroom houses,700.0
1615,East Hawthorn,2018,4 bedroom houses,995.0
1616,East Hawthorn,2018,All properties,440.0
1617,East Hawthorn,2019,1 bedroom flats,372.5
1618,East Hawthorn,2019,2 bedroom flats,460.0
1619,East Hawthorn,2019,2 bedroom houses,550.0
1620,East Hawthorn,2019,3 bedroom flats,612.5
1621,East Hawthorn,2019,3 bedroom houses,690.0
1622,East Hawthorn,2019,4 bedroom houses,1050.0
1623,East Hawthorn,2019,All properties,449.0
1624,East Hawthorn,2020,1 bedroom flats,350.0
1625,East Hawthorn,2020,2 bedroom flats,462.5
1626,East Hawthorn,2020,2 bedroom houses,579.0
1627,East Hawthorn,2020,3 bedroom flats,645.0
1628,East Hawthorn,2020,3 bedroom houses,704.0
1629,East Hawthorn,2020,4 bedroom houses,962.5
1630,East Hawthorn,2020,All properties,439.0
1631,East Hawthorn,2021,1 bedroom flats,325.0
1632,East Hawthorn,2021,2 bedroom flats,415.0
1633,East Hawthorn,2021,2 bedroom houses,565.0
1634,East Hawthorn,2021,3 bedroom flats,562.5
1635,East Hawthorn,2021,3 bedroom houses,676.5
1636,East Hawthorn,2021,4 bedroom houses,964.0
1637,East Hawthorn,2021,All properties,395.0
1638,East Hawthorn,2022,1 bedroom flats,325.0
1639,East Hawthorn,2022,2 bedroom flats,420.0
1640,East Hawthorn,2022,2 bedroom houses,555.0
1641,East Hawthorn,2022,3 bedroom flats,600.0
1642,East Hawthorn,2022,3 bedroom houses,730.0
1643,East Hawthorn,2022,4 bedroom houses,1005.0
1644,East Hawthorn,2022,All properties,400.0
1645,East Melbourne,2018,1 bedroom flats,400.0
1646,East Melbourne,2018,2 bedroom flats,577.5
1647,East Melbourne,2018,2 bedroom houses,0.0
1648,East Melbourne,2018,3 bedroom flats,882.5
1649,East Melbourne,2018,3 bedroom houses,0.0
1650,East Melbourne,2018,4 bedroom houses,0.0
1651,East Melbourne,2018,All properties,500.0
1652,East Melbourne,2019,1 bedroom flats,410.0
1653,East Melbourne,2019,2 bedroom flats,592.5
1654,East Melbourne,2019,2 bedroom houses,0.0
1655,East Melbourne,2019,3 bedroom flats,889.0
1656,East Melbourne,2019,3 bedroom houses,479.0
1657,East Melbourne,2019,4 bedroom houses,0.0
1658,East Melbourne,2019,All properties,510.0
1659,East Melbourne,2020,1 bedroom flats,402.5
1660,East Melbourne,2020,2 bedroom flats,607.5
1661,East Melbourne,2020,2 bedroom houses,0.0
1662,East Melbourne,2020,3 bedroom flats,902.5
1663,East Melbourne,2020,3 bedroom houses,1125.0
1664,East Melbourne,2020,4 bedroom houses,0.0
1665,East Melbourne,2020,All properties,532.5
1666,East Melbourne,2021,1 bedroom flats,367.5
1667,East Melbourne,2021,2 bedroom flats,520.0
1668,East Melbourne,2021,2 bedroom houses,0.0
1669,East Melbourne,2021,3 bedroom flats,850.0
1670,East Melbourne,2021,3 bedroom houses,920.0
1671,East Melbourne,2021,4 bedroom houses,0.0
1672,East Melbourne,2021,All properties,450.0
1673,East Melbourne,2022,1 bedroom flats,383.0
1674,East Melbourne,2022,2 bedroom flats,530.0
1675,East Melbourne,2022,2 bedroom houses,0.0
1676,East Melbourne,2022,3 bedroom flats,865.0
1677,East Melbourne,2022,3 bedroom houses,1000.0
1678,East Melbourne,2022,4 bedroom houses,0.0
1679,East Melbourne,2022,All properties,470.0
1680,East St Kilda,2018,1 bedroom flats,322.5
1681,East St Kilda,2018,2 bedroom flats,427.5
1682,East St Kilda,2018,2 bedroom houses,595.0
1683,East St Kilda,2018,3 bedroom flats,561.5
1684,East St Kilda,2018,3 bedroom houses,750.0
1685,East St Kilda,2018,4 bedroom houses,892.5
1686,East St Kilda,2018,All properties,405.0
1687,East St Kilda,2019,1 bedroom flats,330.0
1688,East St Kilda,2019,2 bedroom flats,440.0
1689,East St Kilda,2019,2 bedroom houses,607.5
1690,East St Kilda,2019,3 bedroom flats,580.0
1691,East St Kilda,2019,3 bedroom houses,750.0
1692,East St Kilda,2019,4 bedroom houses,937.5
1693,East St Kilda,2019,All properties,422.5
1694,East St Kilda,2020,1 bedroom flats,327.5
1695,East St Kilda,2020,2 bedroom flats,440.0
1696,East St Kilda,2020,2 bedroom houses,592.5
1697,East St Kilda,2020,3 bedroom flats,589.0
1698,East St Kilda,2020,3 bedroom houses,750.0
1699,East St Kilda,2020,4 bedroom houses,875.0
1700,East St Kilda,2020,All properties,422.5
1701,East St Kilda,2021,1 bedroom flats,297.5
1702,East St Kilda,2021,2 bedroom flats,397.0
1703,East St Kilda,2021,2 bedroom houses,566.5
1704,East St Kilda,2021,3 bedroom flats,514.0
1705,East St Kilda,2021,3 bedroom houses,696.5
1706,East St Kilda,2021,4 bedroom houses,842.5
1707,East St Kilda,2021,All properties,382.5
1708,East St Kilda,2022,1 bedroom flats,295.0
1709,East St Kilda,2022,2 bedroom flats,400.0
1710,East St Kilda,2022,2 bedroom houses,595.0
1711,East St Kilda,2022,3 bedroom flats,560.0
1712,East St Kilda,2022,3 bedroom houses,715.0
1713,East St Kilda,2022,4 bedroom houses,868.0
1714,East St Kilda,2022,All properties,390.0
1715,Echuca,2018,1 bedroom flats,150.0
1716,Echuca,2018,2 bedroom flats,250.0
1717,Echuca,2018,2 bedroom houses,280.0
1718,Echuca,2018,3 bedroom flats,322.5
1719,Echuca,2018,3 bedroom houses,332.5
1720,Echuca,2018,4 bedroom houses,404.0
1721,Echuca,2018,All properties,300.0
1722,Echuca,2019,1 bedroom flats,157.5
1723,Echuca,2019,2 bedroom flats,265.0
1724,Echuca,2019,2 bedroom houses,280.0
1725,Echuca,2019,3 bedroom flats,330.0
1726,Echuca,2019,3 bedroom houses,344.0
1727,Echuca,2019,4 bedroom houses,420.0
1728,Echuca,2019,All properties,317.5
1729,Echuca,2020,1 bedroom flats,180.0
1730,Echuca,2020,2 bedroom flats,280.0
1731,Echuca,2020,2 bedroom houses,306.5
1732,Echuca,2020,3 bedroom flats,345.0
1733,Echuca,2020,3 bedroom houses,352.5
1734,Echuca,2020,4 bedroom houses,437.5
1735,Echuca,2020,All properties,339.0
1736,Echuca,2021,1 bedroom flats,185.0
1737,Echuca,2021,2 bedroom flats,294.0
1738,Echuca,2021,2 bedroom houses,307.5
1739,Echuca,2021,3 bedroom flats,387.5
1740,Echuca,2021,3 bedroom houses,369.0
1741,Echuca,2021,4 bedroom houses,470.0
1742,Echuca,2021,All properties,360.0
1743,Echuca,2022,1 bedroom flats,210.0
1744,Echuca,2022,2 bedroom flats,320.0
1745,Echuca,2022,2 bedroom houses,340.0
1746,Echuca,2022,3 bedroom flats,400.0
1747,Echuca,2022,3 bedroom houses,400.0
1748,Echuca,2022,4 bedroom houses,510.0
1749,Echuca,2022,All properties,380.0
1750,Elsternwick,2018,1 bedroom flats,324.0
1751,Elsternwick,2018,2 bedroom flats,450.0
1752,Elsternwick,2018,2 bedroom houses,525.0
1753,Elsternwick,2018,3 bedroom flats,589.0
1754,Elsternwick,2018,3 bedroom houses,750.0
1755,Elsternwick,2018,4 bedroom houses,995.0
1756,Elsternwick,2018,All properties,425.0
1757,Elsternwick,2019,1 bedroom flats,323.5
1758,Elsternwick,2019,2 bedroom flats,470.0
1759,Elsternwick,2019,2 bedroom houses,542.5
1760,Elsternwick,2019,3 bedroom flats,600.0
1761,Elsternwick,2019,3 bedroom houses,776.5
1762,Elsternwick,2019,4 bedroom houses,1020.0
1763,Elsternwick,2019,All properties,450.0
1764,Elsternwick,2020,1 bedroom flats,342.5
1765,Elsternwick,2020,2 bedroom flats,480.0
1766,Elsternwick,2020,2 bedroom houses,510.0
1767,Elsternwick,2020,3 bedroom flats,642.5
1768,Elsternwick,2020,3 bedroom houses,717.5
1769,Elsternwick,2020,4 bedroom houses,1012.5
1770,Elsternwick,2020,All properties,450.0
1771,Elsternwick,2021,1 bedroom flats,304.0
1772,Elsternwick,2021,2 bedroom flats,455.0
1773,Elsternwick,2021,2 bedroom houses,597.0
1774,Elsternwick,2021,3 bedroom flats,609.0
1775,Elsternwick,2021,3 bedroom houses,740.0
1776,Elsternwick,2021,4 bedroom houses,1022.5
1777,Elsternwick,2021,All properties,442.0
1778,Elsternwick,2022,1 bedroom flats,305.0
1779,Elsternwick,2022,2 bedroom flats,460.0
1780,Elsternwick,2022,2 bedroom houses,620.0
1781,Elsternwick,2022,3 bedroom flats,680.0
1782,Elsternwick,2022,3 bedroom houses,760.0
1783,Elsternwick,2022,4 bedroom houses,1000.0
1784,Elsternwick,2022,All properties,440.0
1785,Eltham-Research-Montmorency,2018,1 bedroom flats,286.5
1786,Eltham-Research-Montmorency,2018,2 bedroom flats,372.5
1787,Eltham-Research-Montmorency,2018,2 bedroom houses,405.0
1788,Eltham-Research-Montmorency,2018,3 bedroom flats,450.0
1789,Eltham-Research-Montmorency,2018,3 bedroom houses,460.0
1790,Eltham-Research-Montmorency,2018,4 bedroom houses,565.0
1791,Eltham-Research-Montmorency,2018,All properties,445.0
1792,Eltham-Research-Montmorency,2019,1 bedroom flats,300.0
1793,Eltham-Research-Montmorency,2019,2 bedroom flats,380.0
1794,Eltham-Research-Montmorency,2019,2 bedroom houses,400.0
1795,Eltham-Research-Montmorency,2019,3 bedroom flats,450.0
1796,Eltham-Research-Montmorency,2019,3 bedroom houses,457.5
1797,Eltham-Research-Montmorency,2019,4 bedroom houses,580.0
1798,Eltham-Research-Montmorency,2019,All properties,450.0
1799,Eltham-Research-Montmorency,2020,1 bedroom flats,320.0
1800,Eltham-Research-Montmorency,2020,2 bedroom flats,400.0
1801,Eltham-Research-Montmorency,2020,2 bedroom houses,400.0
1802,Eltham-Research-Montmorency,2020,3 bedroom flats,460.0
1803,Eltham-Research-Montmorency,2020,3 bedroom houses,487.5
1804,Eltham-Research-Montmorency,2020,4 bedroom houses,592.5
1805,Eltham-Research-Montmorency,2020,All properties,455.0
1806,Eltham-Research-Montmorency,2021,1 bedroom flats,322.5
1807,Eltham-Research-Montmorency,2021,2 bedroom flats,400.0
1808,Eltham-Research-Montmorency,2021,2 bedroom houses,405.0
1809,Eltham-Research-Montmorency,2021,3 bedroom flats,484.0
1810,Eltham-Research-Montmorency,2021,3 bedroom houses,490.0
1811,Eltham-Research-Montmorency,2021,4 bedroom houses,625.0
1812,Eltham-Research-Montmorency,2021,All properties,467.5
1813,Eltham-Research-Montmorency,2022,1 bedroom flats,310.0
1814,Eltham-Research-Montmorency,2022,2 bedroom flats,400.0
1815,Eltham-Research-Montmorency,2022,2 bedroom houses,420.0
1816,Eltham-Research-Montmorency,2022,3 bedroom flats,513.0
1817,Eltham-Research-Montmorency,2022,3 bedroom houses,525.0
1818,Eltham-Research-Montmorency,2022,4 bedroom houses,650.0
1819,Eltham-Research-Montmorency,2022,All properties,490.0
1820,Elwood,2018,1 bedroom flats,340.0
1821,Elwood,2018,2 bedroom flats,455.0
1822,Elwood,2018,2 bedroom houses,630.0
1823,Elwood,2018,3 bedroom flats,620.0
1824,Elwood,2018,3 bedroom houses,862.5
1825,Elwood,2018,4 bedroom houses,1100.0
1826,Elwood,2018,All properties,435.0
1827,Elwood,2019,1 bedroom flats,345.0
1828,Elwood,2019,2 bedroom flats,467.5
1829,Elwood,2019,2 bedroom houses,635.0
1830,Elwood,2019,3 bedroom flats,635.0
1831,Elwood,2019,3 bedroom houses,830.0
1832,Elwood,2019,4 bedroom houses,1100.0
1833,Elwood,2019,All properties,450.0
1834,Elwood,2020,1 bedroom flats,340.0
1835,Elwood,2020,2 bedroom flats,465.0
1836,Elwood,2020,2 bedroom houses,644.0
1837,Elwood,2020,3 bedroom flats,641.5
1838,Elwood,2020,3 bedroom houses,830.0
1839,Elwood,2020,4 bedroom houses,1234.0
1840,Elwood,2020,All properties,450.0
1841,Elwood,2021,1 bedroom flats,317.5
1842,Elwood,2021,2 bedroom flats,444.0
1843,Elwood,2021,2 bedroom houses,661.5
1844,Elwood,2021,3 bedroom flats,600.0
1845,Elwood,2021,3 bedroom houses,860.0
1846,Elwood,2021,4 bedroom houses,1262.5
1847,Elwood,2021,All properties,420.0
1848,Elwood,2022,1 bedroom flats,310.0
1849,Elwood,2022,2 bedroom flats,450.0
1850,Elwood,2022,2 bedroom houses,670.0
1851,Elwood,2022,3 bedroom flats,603.0
1852,Elwood,2022,3 bedroom houses,900.0
1853,Elwood,2022,4 bedroom houses,1250.0
1854,Elwood,2022,All properties,420.0
1855,Essendon,2018,1 bedroom flats,320.0
1856,Essendon,2018,2 bedroom flats,382.5
1857,Essendon,2018,2 bedroom houses,400.0
1858,Essendon,2018,3 bedroom flats,470.0
1859,Essendon,2018,3 bedroom houses,465.0
