,housing_type,budget,school_type,results
68,2 bedroom houses,200,0,"['prahran', 'broadmeadows', 'cranbourne']"
69,2 bedroom houses,200,Primary,"['newport', 'hampton', 'donvale']"
70,2 bedroom houses,200,Secondary,"['cranbourne', 'ferntree gully', 'broadmeadows']"
71,2 bedroom houses,200,Pri/Sec,"['broadmeadows', 'cranbourne', 'endeavour hills']"
72,2 bedroom houses,300,0,"['prahran', 'cranbourne', 'broadmeadows']"
73,2 bedroom houses,300,Primary,"['newport', 'hampton', 'donvale']"
74,2 bedroom houses,300,Secondary,"['cranbourne', 'broadmeadows', 'ferntree gully']"
75,2 bedroom houses,300,Pri/Sec,"['broadmeadows', 'cranbourne', 'endeavour hills']"
76,2 bedroom houses,400,0,"['prahran', 'cranbourne', 'newport']"
77,2 bedroom houses,400,Primary,"['newport', 'hampton', 'nunawading']"
78,2 bedroom houses,400,Secondary,"['cranbourne', 'donvale', 'broadmeadows']"
79,2 bedroom houses,400,Pri/Sec,"['broadmeadows', 'cranbourne', 'boronia']"
80,2 bedroom houses,500,0,"['prahran', 'newport', 'donvale']"
81,2 bedroom houses,500,Primary,"['hampton', 'newport', 'donvale']"
82,2 bedroom houses,500,Secondary,"['donvale', 'cranbourne', 'canterbury']"
83,2 bedroom houses,500,Pri/Sec,"['broadmeadows', 'mentone', 'donvale']"
84,2 bedroom houses,600,0,"['prahran', 'newport', 'donvale']"
85,2 bedroom houses,600,Primary,"['hampton', 'newport', 'donvale']"
86,2 bedroom houses,600,Secondary,"['cranbourne', 'donvale', 'hampton']"
87,2 bedroom houses,600,Pri/Sec,"['broadmeadows', 'elsternwick', 'hampton']"
88,2 bedroom houses,700,0,"['prahran', 'newport', 'donvale']"
89,2 bedroom houses,700,Primary,"['hampton', 'newport', 'donvale']"
90,2 bedroom houses,700,Secondary,"['cranbourne', 'canterbury', 'donvale']"
91,2 bedroom houses,700,Pri/Sec,"['elsternwick', 'broadmeadows', 'hampton']"
92,2 bedroom houses,800,0,"['prahran', 'newport', 'cranbourne']"
93,2 bedroom houses,800,Primary,"['hampton', 'newport', 'donvale']"
