,Suburb,Housing_Type,Value,No_of_child_charity,No_of_adult_charity,No_of_bus_stop,No_of_train_station,School_Type,No_of_school
280,albert park,1 bedroom flats,325.0,13.0,17.0,0.0,0.0,Primary,2.0
281,albert park,1 bedroom flats,325.0,13.0,17.0,0.0,0.0,Secondary,1.0
282,middle park,1 bedroom flats,325.0,4.0,5.0,0.0,0.0,Primary,1.0
283,west st kilda,1 bedroom flats,325.0,1.0,1.0,0.0,0.0,0,0.0
284,albert park,2 bedroom flats,450.0,13.0,17.0,0.0,0.0,Primary,2.0
285,albert park,2 bedroom flats,450.0,13.0,17.0,0.0,0.0,Secondary,1.0
286,middle park,2 bedroom flats,450.0,4.0,5.0,0.0,0.0,Primary,1.0
287,west st kilda,2 bedroom flats,450.0,1.0,1.0,0.0,0.0,0,0.0
288,albert park,2 bedroom houses,650.0,13.0,17.0,0.0,0.0,Primary,2.0
289,albert park,2 bedroom houses,650.0,13.0,17.0,0.0,0.0,Secondary,1.0
290,middle park,2 bedroom houses,650.0,4.0,5.0,0.0,0.0,Primary,1.0
291,west st kilda,2 bedroom houses,650.0,1.0,1.0,0.0,0.0,0,0.0
292,albert park,3 bedroom flats,700.0,13.0,17.0,0.0,0.0,Primary,2.0
293,albert park,3 bedroom flats,700.0,13.0,17.0,0.0,0.0,Secondary,1.0
294,middle park,3 bedroom flats,700.0,4.0,5.0,0.0,0.0,Primary,1.0
295,west st kilda,3 bedroom flats,700.0,1.0,1.0,0.0,0.0,0,0.0
296,albert park,3 bedroom houses,950.0,13.0,17.0,0.0,0.0,Primary,2.0
297,albert park,3 bedroom houses,950.0,13.0,17.0,0.0,0.0,Secondary,1.0
298,middle park,3 bedroom houses,950.0,4.0,5.0,0.0,0.0,Primary,1.0
299,west st kilda,3 bedroom houses,950.0,1.0,1.0,0.0,0.0,0,0.0
300,albert park,4 bedroom houses,1100.0,13.0,17.0,0.0,0.0,Primary,2.0
301,albert park,4 bedroom houses,1100.0,13.0,17.0,0.0,0.0,Secondary,1.0
302,middle park,4 bedroom houses,1100.0,4.0,5.0,0.0,0.0,Primary,1.0
303,west st kilda,4 bedroom houses,1100.0,1.0,1.0,0.0,0.0,0,0.0
304,albert park,All properties,500.0,13.0,17.0,0.0,0.0,Primary,2.0
305,albert park,All properties,500.0,13.0,17.0,0.0,0.0,Secondary,1.0
306,middle park,All properties,500.0,4.0,5.0,0.0,0.0,Primary,1.0
307,west st kilda,All properties,500.0,1.0,1.0,0.0,0.0,0,0.0
518,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
519,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Primary,2.0
520,altona,1 bedroom flats,285.0,10.0,13.0,0.0,2.0,Secondary,1.0
521,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
522,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Primary,2.0
523,altona,2 bedroom flats,350.0,10.0,13.0,0.0,2.0,Secondary,1.0
524,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
525,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Primary,2.0
526,altona,2 bedroom houses,365.0,10.0,13.0,0.0,2.0,Secondary,1.0
527,altona,3 bedroom flats,410.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
528,altona,3 bedroom flats,410.0,10.0,13.0,0.0,2.0,Primary,2.0
529,altona,3 bedroom flats,410.0,10.0,13.0,0.0,2.0,Secondary,1.0
530,altona,3 bedroom houses,390.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
531,altona,3 bedroom houses,390.0,10.0,13.0,0.0,2.0,Primary,2.0
532,altona,3 bedroom houses,390.0,10.0,13.0,0.0,2.0,Secondary,1.0
533,altona,4 bedroom houses,430.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
534,altona,4 bedroom houses,430.0,10.0,13.0,0.0,2.0,Primary,2.0
535,altona,4 bedroom houses,430.0,10.0,13.0,0.0,2.0,Secondary,1.0
536,altona,All properties,400.0,10.0,13.0,0.0,2.0,Pri/Sec,1.0
537,altona,All properties,400.0,10.0,13.0,0.0,2.0,Primary,2.0
538,altona,All properties,400.0,10.0,13.0,0.0,2.0,Secondary,1.0
679,armadale,1 bedroom flats,320.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
680,armadale,1 bedroom flats,320.0,20.0,10.0,0.0,2.0,Primary,1.0
681,armadale,2 bedroom flats,450.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
682,armadale,2 bedroom flats,450.0,20.0,10.0,0.0,2.0,Primary,1.0
683,armadale,2 bedroom houses,663.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
684,armadale,2 bedroom houses,663.0,20.0,10.0,0.0,2.0,Primary,1.0
685,armadale,3 bedroom flats,720.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
686,armadale,3 bedroom flats,720.0,20.0,10.0,0.0,2.0,Primary,1.0
687,armadale,3 bedroom houses,850.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
688,armadale,3 bedroom houses,850.0,20.0,10.0,0.0,2.0,Primary,1.0
689,armadale,4 bedroom houses,1100.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
690,armadale,4 bedroom houses,1100.0,20.0,10.0,0.0,2.0,Primary,1.0
691,armadale,All properties,450.0,20.0,10.0,0.0,2.0,Pri/Sec,2.0
692,armadale,All properties,450.0,20.0,10.0,0.0,2.0,Primary,1.0
903,aspendale,1 bedroom flats,300.0,3.0,3.0,0.0,1.0,Primary,2.0
904,chelsea,1 bedroom flats,300.0,6.0,7.0,0.0,1.0,Primary,2.0
905,carrum,1 bedroom flats,300.0,1.0,3.0,0.0,1.0,Primary,1.0
906,aspendale,2 bedroom flats,410.0,3.0,3.0,0.0,1.0,Primary,2.0
907,chelsea,2 bedroom flats,410.0,6.0,7.0,0.0,1.0,Primary,2.0
908,carrum,2 bedroom flats,410.0,1.0,3.0,0.0,1.0,Primary,1.0
909,aspendale,2 bedroom houses,425.0,3.0,3.0,0.0,1.0,Primary,2.0
910,chelsea,2 bedroom houses,425.0,6.0,7.0,0.0,1.0,Primary,2.0
911,carrum,2 bedroom houses,425.0,1.0,3.0,0.0,1.0,Primary,1.0
912,aspendale,3 bedroom flats,510.0,3.0,3.0,0.0,1.0,Primary,2.0
913,chelsea,3 bedroom flats,510.0,6.0,7.0,0.0,1.0,Primary,2.0
914,carrum,3 bedroom flats,510.0,1.0,3.0,0.0,1.0,Primary,1.0
915,aspendale,3 bedroom houses,530.0,3.0,3.0,0.0,1.0,Primary,2.0
916,chelsea,3 bedroom houses,530.0,6.0,7.0,0.0,1.0,Primary,2.0
917,carrum,3 bedroom houses,530.0,1.0,3.0,0.0,1.0,Primary,1.0
918,aspendale,4 bedroom houses,670.0,3.0,3.0,0.0,1.0,Primary,2.0
919,chelsea,4 bedroom houses,670.0,6.0,7.0,0.0,1.0,Primary,2.0
920,carrum,4 bedroom houses,670.0,1.0,3.0,0.0,1.0,Primary,1.0
921,aspendale,All properties,480.0,3.0,3.0,0.0,1.0,Primary,2.0
922,chelsea,All properties,480.0,6.0,7.0,0.0,1.0,Primary,2.0
923,carrum,All properties,480.0,1.0,3.0,0.0,1.0,Primary,1.0
1134,bairnsdale,1 bedroom flats,240.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1135,bairnsdale,1 bedroom flats,240.0,15.0,24.0,26.0,0.0,Primary,4.0
1136,bairnsdale,1 bedroom flats,240.0,15.0,24.0,26.0,0.0,Secondary,2.0
1137,bairnsdale,2 bedroom flats,300.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1138,bairnsdale,2 bedroom flats,300.0,15.0,24.0,26.0,0.0,Primary,4.0
1139,bairnsdale,2 bedroom flats,300.0,15.0,24.0,26.0,0.0,Secondary,2.0
1140,bairnsdale,2 bedroom houses,320.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1141,bairnsdale,2 bedroom houses,320.0,15.0,24.0,26.0,0.0,Primary,4.0
1142,bairnsdale,2 bedroom houses,320.0,15.0,24.0,26.0,0.0,Secondary,2.0
1143,bairnsdale,3 bedroom flats,380.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1144,bairnsdale,3 bedroom flats,380.0,15.0,24.0,26.0,0.0,Primary,4.0
1145,bairnsdale,3 bedroom flats,380.0,15.0,24.0,26.0,0.0,Secondary,2.0
1146,bairnsdale,3 bedroom houses,380.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1147,bairnsdale,3 bedroom houses,380.0,15.0,24.0,26.0,0.0,Primary,4.0
1148,bairnsdale,3 bedroom houses,380.0,15.0,24.0,26.0,0.0,Secondary,2.0
1149,bairnsdale,4 bedroom houses,460.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1150,bairnsdale,4 bedroom houses,460.0,15.0,24.0,26.0,0.0,Primary,4.0
1151,bairnsdale,4 bedroom houses,460.0,15.0,24.0,26.0,0.0,Secondary,2.0
1152,bairnsdale,All properties,370.0,15.0,24.0,26.0,0.0,Pri/Sec,1.0
1153,bairnsdale,All properties,370.0,15.0,24.0,26.0,0.0,Primary,4.0
1154,bairnsdale,All properties,370.0,15.0,24.0,26.0,0.0,Secondary,2.0
1365,ballarat,1 bedroom flats,220.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1366,ballarat,1 bedroom flats,220.0,10.0,17.0,0.0,0.0,Primary,6.0
1367,ballarat,1 bedroom flats,220.0,10.0,17.0,0.0,0.0,Secondary,3.0
1368,ballarat,2 bedroom flats,293.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1369,ballarat,2 bedroom flats,293.0,10.0,17.0,0.0,0.0,Primary,6.0
1370,ballarat,2 bedroom flats,293.0,10.0,17.0,0.0,0.0,Secondary,3.0
1371,ballarat,2 bedroom houses,320.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1372,ballarat,2 bedroom houses,320.0,10.0,17.0,0.0,0.0,Primary,6.0
1373,ballarat,2 bedroom houses,320.0,10.0,17.0,0.0,0.0,Secondary,3.0
1374,ballarat,3 bedroom flats,360.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1375,ballarat,3 bedroom flats,360.0,10.0,17.0,0.0,0.0,Primary,6.0
1376,ballarat,3 bedroom flats,360.0,10.0,17.0,0.0,0.0,Secondary,3.0
1377,ballarat,3 bedroom houses,365.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1378,ballarat,3 bedroom houses,365.0,10.0,17.0,0.0,0.0,Primary,6.0
1379,ballarat,3 bedroom houses,365.0,10.0,17.0,0.0,0.0,Secondary,3.0
1380,ballarat,4 bedroom houses,430.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1381,ballarat,4 bedroom houses,430.0,10.0,17.0,0.0,0.0,Primary,6.0
1382,ballarat,4 bedroom houses,430.0,10.0,17.0,0.0,0.0,Secondary,3.0
1383,ballarat,All properties,350.0,10.0,17.0,0.0,0.0,Pri/Sec,1.0
1384,ballarat,All properties,350.0,10.0,17.0,0.0,0.0,Primary,6.0
1385,ballarat,All properties,350.0,10.0,17.0,0.0,0.0,Secondary,3.0
1526,balwyn,1 bedroom flats,350.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1527,balwyn,1 bedroom flats,350.0,12.0,19.0,0.0,0.0,Primary,1.0
1528,balwyn,2 bedroom flats,405.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1529,balwyn,2 bedroom flats,405.0,12.0,19.0,0.0,0.0,Primary,1.0
1530,balwyn,2 bedroom houses,450.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1531,balwyn,2 bedroom houses,450.0,12.0,19.0,0.0,0.0,Primary,1.0
1532,balwyn,3 bedroom flats,620.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1533,balwyn,3 bedroom flats,620.0,12.0,19.0,0.0,0.0,Primary,1.0
1534,balwyn,3 bedroom houses,590.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1535,balwyn,3 bedroom houses,590.0,12.0,19.0,0.0,0.0,Primary,1.0
1536,balwyn,4 bedroom houses,840.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1537,balwyn,4 bedroom houses,840.0,12.0,19.0,0.0,0.0,Primary,1.0
1538,balwyn,All properties,550.0,12.0,19.0,0.0,0.0,Pri/Sec,1.0
1539,balwyn,All properties,550.0,12.0,19.0,0.0,0.0,Primary,1.0
1680,bayswater,1 bedroom flats,300.0,9.0,20.0,0.0,1.0,Primary,4.0
1681,bayswater,1 bedroom flats,300.0,9.0,20.0,0.0,1.0,Secondary,1.0
1682,bayswater,2 bedroom flats,375.0,9.0,20.0,0.0,1.0,Primary,4.0
1683,bayswater,2 bedroom flats,375.0,9.0,20.0,0.0,1.0,Secondary,1.0
1684,bayswater,2 bedroom houses,390.0,9.0,20.0,0.0,1.0,Primary,4.0
1685,bayswater,2 bedroom houses,390.0,9.0,20.0,0.0,1.0,Secondary,1.0
1686,bayswater,3 bedroom flats,450.0,9.0,20.0,0.0,1.0,Primary,4.0
1687,bayswater,3 bedroom flats,450.0,9.0,20.0,0.0,1.0,Secondary,1.0
1688,bayswater,3 bedroom houses,430.0,9.0,20.0,0.0,1.0,Primary,4.0
1689,bayswater,3 bedroom houses,430.0,9.0,20.0,0.0,1.0,Secondary,1.0
1690,bayswater,4 bedroom houses,490.0,9.0,20.0,0.0,1.0,Primary,4.0
1691,bayswater,4 bedroom houses,490.0,9.0,20.0,0.0,1.0,Secondary,1.0
1692,bayswater,All properties,420.0,9.0,20.0,0.0,1.0,Primary,4.0
1693,bayswater,All properties,420.0,9.0,20.0,0.0,1.0,Secondary,1.0
1974,belmont,1 bedroom flats,275.0,8.0,13.0,60.0,0.0,Primary,5.0
1975,belmont,1 bedroom flats,275.0,8.0,13.0,60.0,0.0,Secondary,1.0
1976,grovedale,1 bedroom flats,275.0,5.0,11.0,85.0,0.0,Primary,4.0
1977,grovedale,1 bedroom flats,275.0,5.0,11.0,85.0,0.0,Secondary,1.0
1978,belmont,2 bedroom flats,370.0,8.0,13.0,60.0,0.0,Primary,5.0
1979,belmont,2 bedroom flats,370.0,8.0,13.0,60.0,0.0,Secondary,1.0
1980,grovedale,2 bedroom flats,370.0,5.0,11.0,85.0,0.0,Primary,4.0
1981,grovedale,2 bedroom flats,370.0,5.0,11.0,85.0,0.0,Secondary,1.0
1982,belmont,2 bedroom houses,380.0,8.0,13.0,60.0,0.0,Primary,5.0
1983,belmont,2 bedroom houses,380.0,8.0,13.0,60.0,0.0,Secondary,1.0
1984,grovedale,2 bedroom houses,380.0,5.0,11.0,85.0,0.0,Primary,4.0
1985,grovedale,2 bedroom houses,380.0,5.0,11.0,85.0,0.0,Secondary,1.0
1986,belmont,3 bedroom flats,435.0,8.0,13.0,60.0,0.0,Primary,5.0
1987,belmont,3 bedroom flats,435.0,8.0,13.0,60.0,0.0,Secondary,1.0
1988,grovedale,3 bedroom flats,435.0,5.0,11.0,85.0,0.0,Primary,4.0
1989,grovedale,3 bedroom flats,435.0,5.0,11.0,85.0,0.0,Secondary,1.0
1990,belmont,3 bedroom houses,440.0,8.0,13.0,60.0,0.0,Primary,5.0
1991,belmont,3 bedroom houses,440.0,8.0,13.0,60.0,0.0,Secondary,1.0
1992,grovedale,3 bedroom houses,440.0,5.0,11.0,85.0,0.0,Primary,4.0
1993,grovedale,3 bedroom houses,440.0,5.0,11.0,85.0,0.0,Secondary,1.0
1994,belmont,4 bedroom houses,500.0,8.0,13.0,60.0,0.0,Primary,5.0
1995,belmont,4 bedroom houses,500.0,8.0,13.0,60.0,0.0,Secondary,1.0
1996,grovedale,4 bedroom houses,500.0,5.0,11.0,85.0,0.0,Primary,4.0
1997,grovedale,4 bedroom houses,500.0,5.0,11.0,85.0,0.0,Secondary,1.0
1998,belmont,All properties,430.0,8.0,13.0,60.0,0.0,Primary,5.0
1999,belmont,All properties,430.0,8.0,13.0,60.0,0.0,Secondary,1.0
2000,grovedale,All properties,430.0,5.0,11.0,85.0,0.0,Primary,4.0
2001,grovedale,All properties,430.0,5.0,11.0,85.0,0.0,Secondary,1.0
2212,benalla,1 bedroom flats,200.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2213,benalla,1 bedroom flats,200.0,11.0,17.0,51.0,0.0,Primary,1.0
2214,benalla,1 bedroom flats,200.0,11.0,17.0,51.0,0.0,Secondary,1.0
2215,benalla,2 bedroom flats,320.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2216,benalla,2 bedroom flats,320.0,11.0,17.0,51.0,0.0,Primary,1.0
2217,benalla,2 bedroom flats,320.0,11.0,17.0,51.0,0.0,Secondary,1.0
2218,benalla,2 bedroom houses,350.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2219,benalla,2 bedroom houses,350.0,11.0,17.0,51.0,0.0,Primary,1.0
2220,benalla,2 bedroom houses,350.0,11.0,17.0,51.0,0.0,Secondary,1.0
2221,benalla,3 bedroom flats,380.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2222,benalla,3 bedroom flats,380.0,11.0,17.0,51.0,0.0,Primary,1.0
2223,benalla,3 bedroom flats,380.0,11.0,17.0,51.0,0.0,Secondary,1.0
2224,benalla,3 bedroom houses,400.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2225,benalla,3 bedroom houses,400.0,11.0,17.0,51.0,0.0,Primary,1.0
2226,benalla,3 bedroom houses,400.0,11.0,17.0,51.0,0.0,Secondary,1.0
2227,benalla,4 bedroom houses,450.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2228,benalla,4 bedroom houses,450.0,11.0,17.0,51.0,0.0,Primary,1.0
2229,benalla,4 bedroom houses,450.0,11.0,17.0,51.0,0.0,Secondary,1.0
2230,benalla,All properties,370.0,11.0,17.0,51.0,0.0,Pri/Sec,2.0
2231,benalla,All properties,370.0,11.0,17.0,51.0,0.0,Primary,1.0
2232,benalla,All properties,370.0,11.0,17.0,51.0,0.0,Secondary,1.0
2443,bendigo,1 bedroom flats,270.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2444,bendigo,1 bedroom flats,270.0,31.0,50.0,73.0,0.0,Primary,5.0
2445,bendigo,1 bedroom flats,270.0,31.0,50.0,73.0,0.0,Secondary,4.0
2446,bendigo,2 bedroom flats,320.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2447,bendigo,2 bedroom flats,320.0,31.0,50.0,73.0,0.0,Primary,5.0
2448,bendigo,2 bedroom flats,320.0,31.0,50.0,73.0,0.0,Secondary,4.0
2449,bendigo,2 bedroom houses,350.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2450,bendigo,2 bedroom houses,350.0,31.0,50.0,73.0,0.0,Primary,5.0
2451,bendigo,2 bedroom houses,350.0,31.0,50.0,73.0,0.0,Secondary,4.0
2452,bendigo,3 bedroom flats,430.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2453,bendigo,3 bedroom flats,430.0,31.0,50.0,73.0,0.0,Primary,5.0
2454,bendigo,3 bedroom flats,430.0,31.0,50.0,73.0,0.0,Secondary,4.0
2455,bendigo,3 bedroom houses,400.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2456,bendigo,3 bedroom houses,400.0,31.0,50.0,73.0,0.0,Primary,5.0
2457,bendigo,3 bedroom houses,400.0,31.0,50.0,73.0,0.0,Secondary,4.0
2458,bendigo,4 bedroom houses,450.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2459,bendigo,4 bedroom houses,450.0,31.0,50.0,73.0,0.0,Primary,5.0
2460,bendigo,4 bedroom houses,450.0,31.0,50.0,73.0,0.0,Secondary,4.0
2461,bendigo,All properties,375.0,31.0,50.0,73.0,0.0,Pri/Sec,2.0
2462,bendigo,All properties,375.0,31.0,50.0,73.0,0.0,Primary,5.0
2463,bendigo,All properties,375.0,31.0,50.0,73.0,0.0,Secondary,4.0
2604,bentleigh,1 bedroom flats,310.0,12.0,10.0,0.0,2.0,Primary,3.0
2605,bentleigh,1 bedroom flats,310.0,12.0,10.0,0.0,2.0,Secondary,1.0
2606,bentleigh,2 bedroom flats,425.0,12.0,10.0,0.0,2.0,Primary,3.0
2607,bentleigh,2 bedroom flats,425.0,12.0,10.0,0.0,2.0,Secondary,1.0
2608,bentleigh,2 bedroom houses,480.0,12.0,10.0,0.0,2.0,Primary,3.0
2609,bentleigh,2 bedroom houses,480.0,12.0,10.0,0.0,2.0,Secondary,1.0
2610,bentleigh,3 bedroom flats,600.0,12.0,10.0,0.0,2.0,Primary,3.0
2611,bentleigh,3 bedroom flats,600.0,12.0,10.0,0.0,2.0,Secondary,1.0
2612,bentleigh,3 bedroom houses,595.0,12.0,10.0,0.0,2.0,Primary,3.0
2613,bentleigh,3 bedroom houses,595.0,12.0,10.0,0.0,2.0,Secondary,1.0
2614,bentleigh,4 bedroom houses,820.0,12.0,10.0,0.0,2.0,Primary,3.0
2615,bentleigh,4 bedroom houses,820.0,12.0,10.0,0.0,2.0,Secondary,1.0
2616,bentleigh,All properties,500.0,12.0,10.0,0.0,2.0,Primary,3.0
2617,bentleigh,All properties,500.0,12.0,10.0,0.0,2.0,Secondary,1.0
2828,berwick,1 bedroom flats,310.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2829,berwick,1 bedroom flats,310.0,21.0,26.0,1.0,1.0,Primary,7.0
2830,berwick,1 bedroom flats,310.0,21.0,26.0,1.0,1.0,Secondary,3.0
2831,berwick,2 bedroom flats,360.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2832,berwick,2 bedroom flats,360.0,21.0,26.0,1.0,1.0,Primary,7.0
2833,berwick,2 bedroom flats,360.0,21.0,26.0,1.0,1.0,Secondary,3.0
2834,berwick,2 bedroom houses,360.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2835,berwick,2 bedroom houses,360.0,21.0,26.0,1.0,1.0,Primary,7.0
2836,berwick,2 bedroom houses,360.0,21.0,26.0,1.0,1.0,Secondary,3.0
2837,berwick,3 bedroom flats,405.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2838,berwick,3 bedroom flats,405.0,21.0,26.0,1.0,1.0,Primary,7.0
2839,berwick,3 bedroom flats,405.0,21.0,26.0,1.0,1.0,Secondary,3.0
2840,berwick,3 bedroom houses,420.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2841,berwick,3 bedroom houses,420.0,21.0,26.0,1.0,1.0,Primary,7.0
2842,berwick,3 bedroom houses,420.0,21.0,26.0,1.0,1.0,Secondary,3.0
2843,berwick,4 bedroom houses,470.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2844,berwick,4 bedroom houses,470.0,21.0,26.0,1.0,1.0,Primary,7.0
2845,berwick,4 bedroom houses,470.0,21.0,26.0,1.0,1.0,Secondary,3.0
2846,berwick,All properties,440.0,21.0,26.0,1.0,1.0,Pri/Sec,2.0
2847,berwick,All properties,440.0,21.0,26.0,1.0,1.0,Primary,7.0
2848,berwick,All properties,440.0,21.0,26.0,1.0,1.0,Secondary,3.0
2989,blackburn,1 bedroom flats,340.0,14.0,25.0,0.0,2.0,Primary,4.0
2990,blackburn,1 bedroom flats,340.0,14.0,25.0,0.0,2.0,Secondary,1.0
2991,blackburn,2 bedroom flats,400.0,14.0,25.0,0.0,2.0,Primary,4.0
2992,blackburn,2 bedroom flats,400.0,14.0,25.0,0.0,2.0,Secondary,1.0
2993,blackburn,2 bedroom houses,400.0,14.0,25.0,0.0,2.0,Primary,4.0
2994,blackburn,2 bedroom houses,400.0,14.0,25.0,0.0,2.0,Secondary,1.0
2995,blackburn,3 bedroom flats,500.0,14.0,25.0,0.0,2.0,Primary,4.0
2996,blackburn,3 bedroom flats,500.0,14.0,25.0,0.0,2.0,Secondary,1.0
2997,blackburn,3 bedroom houses,460.0,14.0,25.0,0.0,2.0,Primary,4.0
2998,blackburn,3 bedroom houses,460.0,14.0,25.0,0.0,2.0,Secondary,1.0
2999,blackburn,4 bedroom houses,600.0,14.0,25.0,0.0,2.0,Primary,4.0
3000,blackburn,4 bedroom houses,600.0,14.0,25.0,0.0,2.0,Secondary,1.0
3001,blackburn,All properties,440.0,14.0,25.0,0.0,2.0,Primary,4.0
3002,blackburn,All properties,440.0,14.0,25.0,0.0,2.0,Secondary,1.0
3143,boronia,1 bedroom flats,330.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3144,boronia,1 bedroom flats,330.0,11.0,14.0,0.0,1.0,Primary,4.0
3145,boronia,2 bedroom flats,380.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3146,boronia,2 bedroom flats,380.0,11.0,14.0,0.0,1.0,Primary,4.0
3147,boronia,2 bedroom houses,373.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3148,boronia,2 bedroom houses,373.0,11.0,14.0,0.0,1.0,Primary,4.0
3149,boronia,3 bedroom flats,440.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3150,boronia,3 bedroom flats,440.0,11.0,14.0,0.0,1.0,Primary,4.0
3151,boronia,3 bedroom houses,430.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3152,boronia,3 bedroom houses,430.0,11.0,14.0,0.0,1.0,Primary,4.0
3153,boronia,4 bedroom houses,525.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3154,boronia,4 bedroom houses,525.0,11.0,14.0,0.0,1.0,Primary,4.0
3155,boronia,All properties,418.0,11.0,14.0,0.0,1.0,Pri/Sec,1.0
3156,boronia,All properties,418.0,11.0,14.0,0.0,1.0,Primary,4.0
3367,box hill,1 bedroom flats,310.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3368,box hill,1 bedroom flats,310.0,21.0,35.0,0.0,1.0,Primary,1.0
3369,box hill,1 bedroom flats,310.0,21.0,35.0,0.0,1.0,Secondary,2.0
3370,box hill,2 bedroom flats,415.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3371,box hill,2 bedroom flats,415.0,21.0,35.0,0.0,1.0,Primary,1.0
3372,box hill,2 bedroom flats,415.0,21.0,35.0,0.0,1.0,Secondary,2.0
3373,box hill,2 bedroom houses,408.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3374,box hill,2 bedroom houses,408.0,21.0,35.0,0.0,1.0,Primary,1.0
3375,box hill,2 bedroom houses,408.0,21.0,35.0,0.0,1.0,Secondary,2.0
3376,box hill,3 bedroom flats,500.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3377,box hill,3 bedroom flats,500.0,21.0,35.0,0.0,1.0,Primary,1.0
3378,box hill,3 bedroom flats,500.0,21.0,35.0,0.0,1.0,Secondary,2.0
3379,box hill,3 bedroom houses,480.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3380,box hill,3 bedroom houses,480.0,21.0,35.0,0.0,1.0,Primary,1.0
3381,box hill,3 bedroom houses,480.0,21.0,35.0,0.0,1.0,Secondary,2.0
3382,box hill,4 bedroom houses,650.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3383,box hill,4 bedroom houses,650.0,21.0,35.0,0.0,1.0,Primary,1.0
3384,box hill,4 bedroom houses,650.0,21.0,35.0,0.0,1.0,Secondary,2.0
3385,box hill,All properties,420.0,21.0,35.0,0.0,1.0,Pri/Sec,1.0
3386,box hill,All properties,420.0,21.0,35.0,0.0,1.0,Primary,1.0
3387,box hill,All properties,420.0,21.0,35.0,0.0,1.0,Secondary,2.0
3598,brighton,1 bedroom flats,370.0,20.0,26.0,0.0,4.0,Pri/Sec,2.0
3599,brighton,1 bedroom flats,370.0,20.0,26.0,0.0,4.0,Primary,5.0
